#消费贷							
#类别	月度账单	利息	使用额度	剩余额度： 	月度还款日	年度日	年化负债
消费贷-建行	0 	5.600%	0 	0	0	-	0
消费贷-民生	1482 	5.655%	299,000 	9000	15	11月21日	16908.45
消费贷-华夏	1499 	5.700%	300,000 	0	20	2月20日	17100
消费贷-浦发	992 	5.655%	200,000 	0	10	2月28日	11310
							
							
							
#信用卡消费					还款日		
中信	3,297 	0.000%	60000	56703	31	支付宝	150 
交通银行白麒麟-1984	20,617 	0.000%	200000	167618	4	支付宝	3,377 
民生	0 	0.000%	60000	60000	11	支付宝	0 
中国银行	0 	0.000%	65000	65000	26	支付宝	0 
浦发	18,777 	0.000%	60000	41223	25	支付宝	979 
中信-吴	0 	0.000%	50000	31223	6	支付宝	
							
