#羊毛类  \t分割 
序号	项目来源	项目编号	投资时间	预期年化收益率	投资金额(元)	到期时间	
2	融金所	 融金计划丨3个月	2017-04-07	14%	49,900	2017-07-07

3	积木盒子	 轻松投3个月20170406-2	2017-04-06	9%	20,000	2017-07-06
4	积木盒子	轻松投6个月20170406-1	2017-04-06	9%	5,000	2017-10-06

6	投融家	赢 赢系3号Y170503025C	2017-05-03	12%	10,000	2017-08-01

7	人人贷	U计划-C170314-2期	2017-03-14	9.3%	10,000	2018-03-16
8	人人贷	U计划-3月新手标-129期	2017-03-14	8.6%	10,000	2017-06-16

7	人人贷	U计划-C170314-2期	2017-03-14	9.3%	10,000	2018-03-16
8	人人贷	U计划-3月新手标-129期	2017-03-14	8.6%	10,000	2017-06-16

9	懒投资W	懒人计划保理3月期1215012	2017-04-14	10%	49,800	2017-07-18
10	懒投资W	懒人计划保理3月期1214822	2017-04-05	11%	10,000	2017-07-05

12	小赢(微信)	定期1月期·97853936444227591	2017-06-01	9%	71,000	2017-05-20

